;Bezeichnung;Executed-Ist;Kostenart;Plan;Planentwurf;Produktbereich;Profitcenter;Sign;Year
68;Verw. von Steuern und Benutzungsgebühren;2064570.875;1259340848;0.0;0.0;01 Innere Verwaltung;121000122;plus;2008
69;Steuern;266413152.0;32577330;0.0;0.0;16 Allgemeine Finanzwirtschaft;121201606;plus;2008
70;Steuern;-645521600.0;29473100;0.0;0.0;16 Allgemeine Finanzwirtschaft;121201606;minus;2008
71;Produktbereichsübergreifend;50567.9492188;1468070208;0.0;0.0;00;123000000;plus;2008
72;Produktbereichsübergreifend;-102577.5;1562070208;0.0;0.0;00;123000000;minus;2008
73;Zentrale Vergabedienstleistungen;718426.0;1714882268;0.0;0.0;01 Innere Verwaltung;123000110;plus;2008
74;Zentrale Vergabedienstleistungen;-38179.4492188;100773978;0.0;0.0;01 Innere Verwaltung;123000110;minus;2008
75;Liegenschaftsmanagement;12790962.0;-885147544;0.0;0.0;01 Innere Verwaltung;123000128;plus;2008
76;Liegenschaftsmanagement;-16153490.0;521729814;0.0;0.0;01 Innere Verwaltung;123000128;minus;2008
77;Straßenrecht und Wettbewerbe;147198.5625;1712674776;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;123000905;plus;2008
78;Straßenrecht und Wettbewerbe;-10596.5498047;98900368;0.0;0.0;09 Räumliche Planung und Entwicklung, Geoinfo;123000905;minus;2008
79;Wohnungsbauförderung;618812.8125;1522309040;0.0;0.0;10 Bauen und Wohnen;123001004;plus;2008
80;Wohnungsbauförderung;-136376.375;104582668;0.0;0.0;10 Bauen und Wohnen;123001004;minus;2008
81;Stiftung Julius Barthels;-153716.3125;6068100;0.0;0.0;17 Stiftungen;123001718;minus;2008
82;Stiftung Julius Barthels;153716.3125;5288000;0.0;0.0;17 Stiftungen;123001718;plus;2008
83;Produktbereichsübergreifend;34064.3007812;716070147;0.0;0.0;00;130000000;plus;2008
84;Produktbereichsübergreifend;-34064.3007812;716070147;0.0;0.0;00;130000000;minus;2008
85;Recht;-3485783.5;-1073947338;0.0;0.0;01 Innere Verwaltung;130000127;minus;2008
86;Recht;3650402.25;2118271476;0.0;0.0;01 Innere Verwaltung;130000127;plus;2008
87;Sozialversicherungsangelegenheiten;-1465.03991699;5401454;0.0;0.0;05 Soziale Leistungen;130000512;minus;2008
88;Sozialversicherungsangelegenheiten;66591.3515625;765707700;0.0;0.0;05 Soziale Leistungen;130000512;plus;2008
89;Lastenausgleich;-800510.0;8052175;0.0;0.0;05 Soziale Leistungen;130000513;minus;2008
90;Lastenausgleich;1168487.125;-1928466931;0.0;0.0;05 Soziale Leistungen;130000513;plus;2008
91;PB02 Sicherheit und Ordnung;-927228.0;1186070156;0.0;0.0;02 Sicherheit und Ordnung;133000200;minus;2008
92;PB02 Sicherheit und Ordnung;818775.875;1092070156;0.0;0.0;02 Sicherheit und Ordnung;133000200;plus;2008
93;Allgemeine Sicherheit und Ordnung;4090335.25;86997879;0.0;0.0;02 Sicherheit und Ordnung;133000201;plus;2008
94;Allgemeine Sicherheit und Ordnung;-550882.5625;215735419;0.0;0.0;02 Sicherheit und Ordnung;133000201;minus;2008
95;Gewerbewesen;-525846.375;203785922;0.0;0.0;02 Sicherheit und Ordnung;133000202;minus;2008
96;Gewerbewesen;724585.1875;1882465361;0.0;0.0;02 Sicherheit und Ordnung;133000202;plus;2008
97;Märkte (BgA);-1140845.5;122225930;0.0;0.0;02 Sicherheit und Ordnung;133000203;minus;2008
98;Märkte (BgA);1077900.375;-887813894;0.0;0.0;02 Sicherheit und Ordnung;133000203;plus;2008
99;Verkehrsang. Fahr-u.Beförd-erl. Kfz-Ang.;9477667.0;-177244431;0.0;0.0;02 Sicherheit und Ordnung;133000204;plus;2008
100;Verkehrsang. Fahr-u.Beförd-erl. Kfz-Ang.;-10952830.0;128160941;0.0;0.0;02 Sicherheit und Ordnung;133000204;minus;2008
101;Einwohnerangelegenheiten;-3228951.0;1242780222;0.0;0.0;02 Sicherheit und Ordnung;133000205;minus;2008
102;Einwohnerangelegenheiten;8481149.0;-1231036185;0.0;0.0;02 Sicherheit und Ordnung;133000205;plus;2008
103;Personenstandswesen;2308529.5;-1343188814;0.0;0.0;02 Sicherheit und Ordnung;133000206;plus;2008
104;Personenstandswesen;-563139.75;107938718;0.0;0.0;02 Sicherheit und Ordnung;133000206;minus;2008
105;Wahlen;10606.4296875;-1378900011;0.0;0.0;02 Sicherheit und Ordnung;133000207;plus;2008
106;Wahlen;-3808.87988281;501100;0.0;0.0;02 Sicherheit und Ordnung;133000207;minus;2008
107;PB02 Sicherheit und Ordnung;635921.75;-411429423;0.0;0.0;02 Sicherheit und Ordnung;137000200;plus;2008
108;PB02 Sicherheit und Ordnung;-635921.75;-411429423;0.0;0.0;02 Sicherheit und Ordnung;137000200;minus;2008
109;Brandschutz;-3484522.25;1910501552;0.0;0.0;02 Sicherheit und Ordnung;137000219;minus;2008
110;Brandschutz;19980112.0;-1069777028;0.0;0.0;02 Sicherheit und Ordnung;137000219;plus;2008
111;Abwehr von Großschadensereignissen;-338913.15625;395339113;0.0;0.0;02 Sicherheit und Ordnung;137000220;minus;2008
112;Abwehr von Großschadensereignissen;3302047.0;-1554419393;0.0;0.0;02 Sicherheit und Ordnung;137000220;plus;2008
113;Rettungsdienst (KRE);10328934.0;-1230664074;0.0;0.0;02 Sicherheit und Ordnung;137000221;plus;2008
114;Rettungsdienst (KRE);-9235871.0;580105328;0.0;0.0;02 Sicherheit und Ordnung;137000221;minus;2008
115;Stiftung zur Förderung der Feuerwehr;-3815.42993164;5829080;0.0;0.0;17 Stiftungen;137001720;minus;2008
116;Stiftung zur Förderung der Feuerwehr;3815.42993164;547400;0.0;0.0;17 Stiftungen;137001720;plus;2008
117;PB03 Schulträgeraufgaben;390629.4375;-476897049;0.0;0.0;03 Schulträgeraufgaben;140000300;plus;2008
118;PB03 Schulträgeraufgaben;-507703.5;-382897049;0.0;0.0;03 Schulträgeraufgaben;140000300;minus;2008
119;Grundschulen;25380712.0;213909106;0.0;0.0;03 Schulträgeraufgaben;140000301;plus;2008
120;Grundschulen;-18883632.0;238136012;0.0;0.0;03 Schulträgeraufgaben;140000301;minus;2008
121;Hauptschulen;4019427.0;-41198260;0.0;0.0;03 Schulträgeraufgaben;140000302;plus;2008
122;Hauptschulen;-632309.9375;122840314;0.0;0.0;03 Schulträgeraufgaben;140000302;minus;2008
123;Realschulen;4391229.5;-134839458;0.0;0.0;03 Schulträgeraufgaben;140000303;plus;2008
124;Realschulen;-863023.0625;217062597;0.0;0.0;03 Schulträgeraufgaben;140000303;minus;2008
125;Gymnasien;-1792308.0;136147796;0.0;0.0;03 Schulträgeraufgaben;140000304;minus;2008
126;Gymnasien;9334808.0;67745293;0.0;0.0;03 Schulträgeraufgaben;140000304;plus;2008
127;Gesamtschulen;-615840.1875;120057285;0.0;0.0;03 Schulträgeraufgaben;140000305;minus;2008
128;Gesamtschulen;3719405.25;-140700624;0.0;0.0;03 Schulträgeraufgaben;140000305;plus;2008
129;Förderschulen;3623718.25;-17419077;0.0;0.0;03 Schulträgeraufgaben;140000306;plus;2008
130;Förderschulen;-422455.75;136361166;0.0;0.0;03 Schulträgeraufgaben;140000306;minus;2008
131;Berufskollegs;-1052719.875;224180671;0.0;0.0;03 Schulträgeraufgaben;140000307;minus;2008
132;Berufskollegs;5803660.5;-136529768;0.0;0.0;03 Schulträgeraufgaben;140000307;plus;2008
133;Schülerbeförderung;-37995.9414062;13456435;0.0;0.0;03 Schulträgeraufgaben;140000308;minus;2008
134;Schülerbeförderung;6284540.5;-407942625;0.0;0.0;03 Schulträgeraufgaben;140000308;plus;2008
135;Fördermaßnahmen für Schüler;-170658.4375;7274835;0.0;0.0;03 Schulträgeraufgaben;140000309;minus;2008
136;Fördermaßnahmen für Schüler;869232.4375;-218203859;0.0;0.0;03 Schulträgeraufgaben;140000309;plus;2008
137;Sonstige schulische Aufgaben;-530338.25;960755752;0.0;0.0;03 Schulträgeraufgaben;140000310;minus;2008
138;Sonstige schulische Aufgaben;1453751.625;-348651675;0.0;0.0;03 Schulträgeraufgaben;140000310;plus;2008
139;Stiftung Thomas Hansen;5623.95019531;2624620;0.0;0.0;17 Stiftungen;140001702;plus;2008
140;Stiftung Thomas Hansen;-5623.94970703;5588570;0.0;0.0;17 Stiftungen;140001702;minus;2008
141;Stiftung Peter Kemper;50016.5585938;38781565;0.0;0.0;17 Stiftungen;140001703;plus;2008
142;Stiftung Peter Kemper;-50016.5585938;11011770;0.0;0.0;17 Stiftungen;140001703;minus;2008
143;PB04 Kultur und Wissenschaft;-154970.984375;1750069808;0.0;0.0;04 Kultur und Wissenschaft;141000400;minus;2008
144;PB04 Kultur und Wissenschaft;120137.828125;1280069808;0.0;0.0;04 Kultur und Wissenschaft;141000400;plus;2008
145;Kulturelle Projekte;1129167.875;-641307875;0.0;0.0;04 Kultur und Wissenschaft;141000401;plus;2008
146;Kulturelle Projekte;-131032.601562;8765265;0.0;0.0;04 Kultur und Wissenschaft;141000401;minus;2008
147;Kulturförderung freie Träger;-186941.875;104678668;0.0;0.0;04 Kultur und Wissenschaft;141000402;minus;2008
148;Kulturförderung freie Träger;5802471.0;-2101543892;0.0;0.0;04 Kultur und Wissenschaft;141000402;plus;2008
149;Stiftung Konrad Adenauer;-410.910003662;5600650;0.0;0.0;17 Stiftungen;141001704;minus;2008
150;Stiftung Konrad Adenauer;410.910003662;1623630;0.0;0.0;17 Stiftungen;141001704;plus;2008
151;Stiftung August Kaiser;-16115.5800781;5563600;0.0;0.0;17 Stiftungen;141001705;minus;2008
152;Stiftung August Kaiser;16115.5800781;1623630;0.0;0.0;17 Stiftungen;141001705;plus;2008
153;Dorothea-von-Stetten-Stiftung;-12204.5898438;4573000;0.0;0.0;17 Stiftungen;141001706;minus;2008
154;Dorothea-von-Stetten-Stiftung;12204.5898438;1012380;0.0;0.0;17 Stiftungen;141001706;plus;2008
155;Stiftung Dr. Werner Borchert;14089.2001953;1000390;0.0;0.0;17 Stiftungen;141001707;plus;2008
156;Stiftung Dr. Werner Borchert;-14089.2001953;4158200;0.0;0.0;17 Stiftungen;141001707;minus;2008
157;Beethoven Orchester;12646448.0;-1634800877;0.0;0.0;04 Kultur und Wissenschaft;141200410;plus;2008
158;Beethoven Orchester;-6036707.0;400540555;0.0;0.0;04 Kultur und Wissenschaft;141200410;minus;2008
159;Kunstmuseum;-658616.125;133893871;0.0;0.0;04 Kultur und Wissenschaft;141300409;minus;2008
160;Kunstmuseum;5283390.5;-375959318;0.0;0.0;04 Kultur und Wissenschaft;141300409;plus;2008
161;Stadtarchiv;-69084.2265625;26423445;0.0;0.0;04 Kultur und Wissenschaft;141400407;minus;2008
162;Stadtarchiv;1285743.5;-1585728821;0.0;0.0;04 Kultur und Wissenschaft;141400407;plus;2008
163;Stadtmuseum;620571.1875;-1752071096;0.0;0.0;04 Kultur und Wissenschaft;141500408;plus;2008
164;Stadtmuseum;-55592.28125;114179598;0.0;0.0;04 Kultur und Wissenschaft;141500408;minus;2008
165;Stadtbibliothek;-493563.375;124963005;0.0;0.0;04 Kultur und Wissenschaft;141600406;minus;2008
166;Stadtbibliothek;4174081.25;-1641321369;0.0;0.0;04 Kultur und Wissenschaft;141600406;plus;2008
167;Musikschule;5435461.0;-1391970640;0.0;0.0;04 Kultur und Wissenschaft;141700405;plus;2008
168;Musikschule;-1969738.375;780044314;0.0;0.0;04 Kultur und Wissenschaft;141700405;minus;2008
169;Volkshochschule;3125013.75;-1631060576;0.0;0.0;04 Kultur und Wissenschaft;141800404;plus;2008
170;Volkshochschule;-2040887.625;396402225;0.0;0.0;04 Kultur und Wissenschaft;141800404;minus;2008
171;Theater;-13873767.0;2011700;0.0;0.0;04 Kultur und Wissenschaft;141900411;minus;2008
172;Theater;38263448.0;6950100;0.0;0.0;04 Kultur und Wissenschaft;141900411;plus;2008
173;Produktbereichsübergreifend;-740852.6875;-100395880;0.0;0.0;00;150000000;minus;2008
174;Produktbereichsübergreifend;522848.5625;-288395880;0.0;0.0;00;150000000;plus;2008
175;Grundsicherungsleistungen nach d. SGB II;80409584.0;-50124062;0.0;0.0;05 Soziale Leistungen;150000501;plus;2008
176;Grundsicherungsleistungen nach d. SGB II;-35276560.0;963766324;0.0;0.0;05 Soziale Leistungen;150000501;minus;2008
177;Grundversorgung u.Leistungen n.d.SGB XII;68010648.0;85010228;0.0;0.0;05 Soziale Leistungen;150000502;plus;2008
178;Grundversorgung u.Leistungen n.d.SGB XII;-11600759.0;350451211;0.0;0.0;05 Soziale Leistungen;150000502;minus;2008
179;Leistungen nach dem AsylbLG;-989070.625;207440531;0.0;0.0;05 Soziale Leistungen;150000503;minus;2008
180;Leistungen nach dem AsylbLG;4967595.0;-167618384;0.0;0.0;05 Soziale Leistungen;150000503;plus;2008
181;Soziale Einrichtungen;-302046.84375;488800810;0.0;0.0;05 Soziale Leistungen;150000504;minus;2008
182;Soziale Einrichtungen;2081399.75;-404668623;0.0;0.0;05 Soziale Leistungen;150000504;plus;2008
183;Leistungen nach dem BVG;32248.6894531;-1413718466;0.0;0.0;05 Soziale Leistungen;150000505;plus;2008
184;Leistungen nach dem BVG;-21602.9492188;193339339;0.0;0.0;05 Soziale Leistungen;150000505;minus;2008
185;Förd.Träg.Wohlf.pfl.,Vereine,sonst.Träg.;-781310.6875;196312911;0.0;0.0;05 Soziale Leistungen;150000506;minus;2008
186;Förd.Träg.Wohlf.pfl.,Vereine,sonst.Träg.;5173623.0;-383671371;0.0;0.0;05 Soziale Leistungen;150000506;plus;2008
187;Unterhaltsvorschussleistungen;-2740507.0;27120555;0.0;0.0;05 Soziale Leistungen;150000507;minus;2008
188;Unterhaltsvorschussleistungen;5028021.0;26395212;0.0;0.0;05 Soziale Leistungen;150000507;plus;2008
189;Betreuungsleistungen;-22602.5195312;196838271;0.0;0.0;05 Soziale Leistungen;150000508;minus;2008
190;Betreuungsleistungen;694036.5625;-186245114;0.0;0.0;05 Soziale Leistungen;150000508;plus;2008
191;Leist. f. Heimk., pol.Häftl., Spätauss.;-3403.30004883;193902751;0.0;0.0;05 Soziale Leistungen;150000509;minus;2008
192;Leist. f. Heimk., pol.Häftl., Spätauss.;26518.6796875;1608090072;0.0;0.0;05 Soziale Leistungen;150000509;plus;2008
193;Sonstige soziale Hilfen und Leistungen;-1379600.625;1429827764;0.0;0.0;05 Soziale Leistungen;150000510;minus;2008
194;Sonstige soziale Hilfen und Leistungen;6801434.5;37058245;0.0;0.0;05 Soziale Leistungen;150000510;plus;2008
195;Schwerbehindertenrecht nach SGB IX;-649340.0625;571613387;0.0;0.0;05 Soziale Leistungen;150000511;minus;2008
196;Schwerbehindertenrecht nach SGB IX;958223.3125;-389469616;0.0;0.0;05 Soziale Leistungen;150000511;plus;2008
197;Tageseinrichtungen für behinderte Kinder;3426841.75;-134094012;0.0;0.0;06 Kinder, Jugend und Familie;150000607;plus;2008
198;Tageseinrichtungen für behinderte Kinder;-2556092.5;116589211;0.0;0.0;06 Kinder, Jugend und Familie;150000607;minus;2008
199;Wohnr.sich.,-vers./Hilfe Wohn.losigkeit;4751005.0;-18410143;0.0;0.0;10 Bauen und Wohnen;150001005;plus;2008
200;Wohnr.sich.,-vers./Hilfe Wohn.losigkeit;-776293.5;130945749;0.0;0.0;10 Bauen und Wohnen;150001005;minus;2008
201;Stiftung Bonner Altenhilfe;-463647.46875;8575750;0.0;0.0;17 Stiftungen;150001708;minus;2008
202;Stiftung Bonner Altenhilfe;463647.46875;13726551;0.0;0.0;17 Stiftungen;150001708;plus;2008
203;Stiftung Paula Flerus;20188.4804688;26737225;0.0;0.0;17 Stiftungen;150001709;plus;2008
204;Stiftung Paula Flerus;-20188.4804688;7087870;0.0;0.0;17 Stiftungen;150001709;minus;2008
205;Stiftung St.-Albertus-Magnus-Heim;-3412.77001953;5551520;0.0;0.0;17 Stiftungen;150001710;minus;2008
206;Stiftung St.-Albertus-Magnus-Heim;3412.77001953;2624620;0.0;0.0;17 Stiftungen;150001710;plus;2008
207;Stiftung Wilhelmine-Lübke-Heim;-11899.4697266;5563600;0.0;0.0;17 Stiftungen;150001711;minus;2008
208;Stiftung Wilhelmine-Lübke-Heim;11899.4697266;2155430;0.0;0.0;17 Stiftungen;150001711;plus;2008
209;Stiftung Wilhelm-Augusta-Stift;-223000.59375;5523430;0.0;0.0;17 Stiftungen;150001712;minus;2008
210;Stiftung Wilhelm-Augusta-Stift;223000.59375;2687230;0.0;0.0;17 Stiftungen;150001712;plus;2008
211;Stiftung Konvente St. Aegidius/St. Jakob;-374577.25;14929450;0.0;0.0;17 Stiftungen;150001713;minus;2008
212;Stiftung Konvente St. Aegidius/St. Jakob;374577.25;47059285;0.0;0.0;17 Stiftungen;150001713;plus;2008
213;Stiftung Johann Gabriel Adrian;-5748.29003906;5551520;0.0;0.0;17 Stiftungen;150001714;minus;2008
214;Stiftung Johann Gabriel Adrian;5748.29003906;2624620;0.0;0.0;17 Stiftungen;150001714;plus;2008
215;Stiftung Max Becker;-502.559997559;1393320;0.0;0.0;17 Stiftungen;150001715;minus;2008
216;Stiftung Max Becker;502.559997559;2155430;0.0;0.0;17 Stiftungen;150001715;plus;2008
217;Stiftung Arme im Allgemeinen;-120918.257812;12488130;0.0;0.0;17 Stiftungen;150001716;minus;2008
218;Stiftung Arme im Allgemeinen;120918.257812;40318145;0.0;0.0;17 Stiftungen;150001716;plus;2008
219;Stiftung Franz Xaver Joseph Lohé;-154475.734375;10974720;0.0;0.0;17 Stiftungen;150001717;minus;2008
220;Stiftung Franz Xaver Joseph Lohé;154475.734375;35002525;0.0;0.0;17 Stiftungen;150001717;plus;2008
221;PB06 Kinder-, Jugend- und Familienhilfe;-1656200.25;-194896993;0.0;0.0;06 Kinder, Jugend und Familie;151000600;minus;2008
222;PB06 Kinder-, Jugend- und Familienhilfe;1318746.0;-288896993;0.0;0.0;06 Kinder, Jugend und Familie;151000600;plus;2008
223;Förd. v. Kindern in Tagespflege;1344663.125;-1190755653;0.0;0.0;06 Kinder, Jugend und Familie;151000601;plus;2008
224;Förd. v. Kindern in Tagespflege;-349669.375;301759815;0.0;0.0;06 Kinder, Jugend und Familie;151000601;minus;2008
225;Tageseinrichtungen für Kinder;-30550332.0;431055296;0.0;0.0;06 Kinder, Jugend und Familie;151000602;minus;2008
226;Tageseinrichtungen für Kinder;58174192.0;-361949746;0.0;0.0;06 Kinder, Jugend und Familie;151000602;plus;2008
227;Jugendarbeit;1247562.125;-236362167;0.0;0.0;06 Kinder, Jugend und Familie;151000603;plus;2008
228;Jugendarbeit;-43028.5195312;305890216;0.0;0.0;06 Kinder, Jugend und Familie;151000603;minus;2008
229;Einrichtung der Jugendarbeit;7605882.5;108572100;0.0;0.0;06 Kinder, Jugend und Familie;151000604;plus;2008
230;Einrichtung der Jugendarbeit;-1233204.25;50490086;0.0;0.0;06 Kinder, Jugend und Familie;151000604;minus;2008
231;Sonst. Leist. z. Förd. j. Menschen u.Fam;-3487671.75;352439075;0.0;0.0;06 Kinder, Jugend und Familie;151000605;minus;2008
232;Sonst. Leist. z. Förd. j. Menschen u.Fam;42093212.0;-277783302;0.0;0.0;06 Kinder, Jugend und Familie;151000605;plus;2008
233;Sonst. Einr. f. j. Menschen u. Familien;1354869.0;-1084313263;0.0;0.0;06 Kinder, Jugend und Familie;151000606;plus;2008
234;Sonst. Einr. f. j. Menschen u. Familien;-112216.28125;304629815;0.0;0.0;06 Kinder, Jugend und Familie;151000606;minus;2008
235;Bundeselterng/ElternzeitG/Betreuungsg.;182086.59375;-1113978632;0.0;0.0;06 Kinder, Jugend und Familie;151000608;plus;2008
